Format Version,1.23,Take Name,C22_F_5,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2026-07-09 10.06.40.803 AM,Capture Start Frame,120210,Total Frames in Take,7364,Total Exported Frames,7364,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
36,0.180000,327.025238,213.174850,86.296783,261.674805,175.053543,85.190331,248.191711,213.748962,85.274689,255.427841,261.400574,85.422775,264.107666,212.917694,84.892654,311.610168,211.311676,85.495514,320.888123,261.071503,86.779175,288.157196,261.239685,85.762527,313.275635,173.772629,86.502380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.185000,327.030640,213.180786,86.300949,261.680511,175.037491,85.192284,248.191055,213.746307,85.280144,255.425690,261.399933,85.423096,264.107697,212.920776,84.895020,311.538239,211.249222,85.534210,320.886871,261.076172,86.778954,288.160492,261.233673,85.759506,313.261749,173.778931,86.513985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.190000,327.031799,213.172546,86.297791,261.676147,175.035248,85.192764,248.192291,213.743408,85.272789,255.426559,261.402130,85.422401,264.118469,212.313156,84.721886,311.613892,211.284424,85.487297,320.885345,261.072906,86.775681,288.157745,261.231323,85.760323,313.262177,173.780762,86.511047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.195000,327.020416,213.179230,86.293419,261.604492,175.113556,85.252678,248.191940,213.741425,85.277748,255.424713,261.403961,85.424721,264.122131,212.632690,84.848457,311.604584,211.308701,85.492355,320.887909,261.071594,86.775627,288.158478,261.230103,85.762962,313.267517,173.775238,86.505600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.200000,327.025482,213.179962,86.294647,261.598785,175.125885,85.255142,248.190598,213.741943,85.275360,255.422897,261.404724,85.422218,264.117523,212.877274,84.889847,311.539856,211.246811,85.532631,320.893982,261.068756,86.772949,288.157227,261.225861,85.758072,313.274170,173.766785,86.495728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.205000,327.030396,213.171631,86.295242,261.676331,175.049515,85.193069,248.190353,213.737610,85.273331,255.431320,261.398010,85.419991,264.075409,212.809647,84.915031,311.614960,211.288589,85.486916,320.890167,261.067108,86.779007,288.155182,261.237946,85.758896,313.283264,173.759033,86.495003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.210000,327.024963,213.174255,86.294464,261.676086,175.030533,85.188438,248.190857,213.742249,85.268524,255.427719,261.397095,85.422913,264.093597,212.725250,84.899261,311.615021,211.312073,85.492760,320.891785,261.070374,86.770447,288.157928,261.237396,85.765396,313.287415,173.753540,86.485138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.215000,327.025909,213.169052,86.296204,261.598053,175.111130,85.249229,248.194641,213.740860,85.277931,255.427963,261.403137,85.423149,264.097443,212.709030,84.892914,311.603790,211.314484,85.495010,320.781403,260.987823,86.802414,288.159698,261.223419,85.756935,313.278748,173.758942,86.492081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.220000,327.025299,213.174347,86.294083,261.675385,175.055954,85.195381,248.191544,213.745255,85.278313,255.426682,261.405304,85.429962,264.055664,212.169312,84.790253,311.607330,211.314301,85.494751,320.886261,261.042175,86.769035,288.162781,261.232635,85.758804,313.274750,173.769409,86.498985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.225000,327.023773,213.177155,86.299088,261.675598,175.040909,85.193977,248.189697,213.743515,85.277412,255.427444,261.395630,85.422729,264.047546,212.134491,84.712044,311.609436,211.310913,85.493179,320.894226,261.075592,86.770393,288.160706,261.234589,85.759758,313.282532,173.766373,86.501678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
